85, 27, 0, Bask, Pyr, GABA
86, 27, 0, Bask, Pyr, GABA
87, 27, 0, Bask, Pyr, GABA
88, 27, 0, Bask, Pyr, GABA
89, 27, 0, Bask, Pyr, GABA
90, 27, 0, Bask, Pyr, GABA
91, 27, 0, Bask, Pyr, GABA
92, 27, 0, Bask, Pyr, GABA
93, 27, 0, Bask, Pyr, GABA
94, 27, 0, Bask, Pyr, GABA
95, 27, 0, Bask, Pyr, GABA
96, 27, 0, Bask, Pyr, GABA
97, 27, 0, Bask, Pyr, GABA
98, 27, 0, Bask, Pyr, GABA
99, 27, 0, Bask, Pyr, GABA
100, 27, 0, Bask, Pyr, GABA
81, 28, 0, Bask, Pyr, GABA
82, 28, 0, Bask, Pyr, GABA
83, 28, 0, Bask, Pyr, GABA
84, 28, 0, Bask, Pyr, GABA
85, 28, 0, Bask, Pyr, GABA
86, 28, 0, Bask, Pyr, GABA
87, 28, 0, Bask, Pyr, GABA
88, 28, 0, Bask, Pyr, GABA
89, 28, 0, Bask, Pyr, GABA
90, 28, 0, Bask, Pyr, GABA
91, 28, 0, Bask, Pyr, GABA
92, 28, 0, Bask, Pyr, GABA
93, 28, 0, Bask, Pyr, GABA
94, 28, 0, Bask, Pyr, GABA
95, 28, 0, Bask, Pyr, GABA
96, 28, 0, Bask, Pyr, GABA
97, 28, 0, Bask, Pyr, GABA
98, 28, 0, Bask, Pyr, GABA
99, 28, 0, Bask, Pyr, GABA
100, 28, 0, Bask, Pyr, GABA
81, 29, 0, Bask, Pyr, GABA
82, 29, 0, Bask, Pyr, GABA
83, 29, 0, Bask, Pyr, GABA
84, 29, 0, Bask, Pyr, GABA
85, 29, 0, Bask, Pyr, GABA
86, 29, 0, Bask, Pyr, GABA
87, 29, 0, Bask, Pyr, GABA
88, 29, 0, Bask, Pyr, GABA
89, 29, 0, Bask, Pyr, GABA
90, 29, 0, Bask, Pyr, GABA
91, 29, 0, Bask, Pyr, GABA
92, 29, 0, Bask, Pyr, GABA
93, 29, 0, Bask, Pyr, GABA
94, 29, 0, Bask, Pyr, GABA
95, 29, 0, Bask, Pyr, GABA
96, 29, 0, Bask, Pyr, GABA
97, 29, 0, Bask, Pyr, GABA
98, 29, 0, Bask, Pyr, GABA
99, 29, 0, Bask, Pyr, GABA
100, 29, 0, Bask, Pyr, GABA
81, 30, 0, Bask, Pyr, GABA
82, 30, 0, Bask, Pyr, GABA
83, 30, 0, Bask, Pyr, GABA
84, 30, 0, Bask, Pyr, GABA
85, 30, 0, Bask, Pyr, GABA
86, 30, 0, Bask, Pyr, GABA
87, 30, 0, Bask, Pyr, GABA
88, 30, 0, Bask, Pyr, GABA
89, 30, 0, Bask, Pyr, GABA
90, 30, 0, Bask, Pyr, GABA
91, 30, 0, Bask, Pyr, GABA
92, 30, 0, Bask, Pyr, GABA
93, 30, 0, Bask, Pyr, GABA
94, 30, 0, Bask, Pyr, GABA
95, 30, 0, Bask, Pyr, GABA
96, 30, 0, Bask, Pyr, GABA
97, 30, 0, Bask, Pyr, GABA
98, 30, 0, Bask, Pyr, GABA
99, 30, 0, Bask, Pyr, GABA
100, 30, 0, Bask, Pyr, GABA
81, 31, 0, Bask, Pyr, GABA
82, 31, 0, Bask, Pyr, GABA
83, 31, 0, Bask, Pyr, GABA
84, 31, 0, Bask, Pyr, GABA
